temperature,irradiance,power
3.146440511781974436e+01,4.483046607838491582e+02,1.825181978186176579e+01
3.645568099117258498e+01,4.984278911045979612e+02,2.146862030124341203e+01
3.308290128214931514e+01,6.199763538034114845e+02,4.618644002875200982e+01
3.134649548990690704e+01,8.004760183431900487e+02,3.474748480616796797e+01
2.770964398016714370e+01,4.668059726330202466e+02,1.557916785369246782e+01
3.437682339199967885e+01,9.393270132966108577e+02,4.374218056406606081e+01
2.812761633788077376e+01,8.898548374687219393e+02,3.248884579094858793e+01
4.175319002346239472e+01,2.389522367804228224e+02,9.699831327327064656e+00
4.390988281503088331e+01,4.029140194054582480e+02,1.210416052330724845e+01
2.650324556477333005e+01,5.569084101273615488e+02,7.281820469478908819e+00
3.875175114247993946e+01,2.837023109939792676e+02,9.724074924112359852e+00
3.086684759258713484e+01,4.787807912267976462e+02,1.767692386277917649e+01
3.204133683281796863e+01,7.920780204941460170e+02,2.007553432074567468e+01
4.276789914877983279e+01,7.444115849142607431e+02,3.227244778468984521e+01
1.713108174593660848e+01,6.979075428528038856e+02,4.807582858879133170e+01
1.761387899104622079e+01,7.684227221778764942e+02,4.187278569254634419e+01
1.560655192320977136e+01,3.639389495677613695e+02,2.275556421337866908e+01
3.997859536643814238e+01,4.733584918917857181e+02,6.255097802115045624e+00
3.834470252849551741e+01,7.409939858219703410e+02,3.798421272747119559e+01
4.110036444740457284e+01,9.033878104250616161e+02,4.254384989031341036e+01
4.435855026698291681e+01,6.349424430624761726e+02,3.260171950976983624e+01
3.897475692650171197e+01,4.261597207564292944e+02,2.163679656225954773e+01
2.884438086758795450e+01,2.241882064047860581e+02,-5.272835021557629176e+00
3.841587528859366785e+01,7.682694631793706321e+02,3.415787751452949550e+01
1.854823277606799792e+01,2.063072828067523119e+02,8.818322584791555840e-01
3.419763063982571794e+01,4.981432558567964293e+02,2.098655878600903080e+01
1.930059862227139433e+01,6.244297716502254616e+02,2.031741945126582749e+01
4.334006751148751846e+01,9.376891694137544846e+02,5.567515539094893740e+01
3.065544965250214915e+01,2.715956360263201077e+02,1.924512951622368462e+00
2.743985819971570805e+01,5.247538575746269771e+02,1.450428549410442258e+01
2.293666836313880708e+01,2.194505597681262259e+02,9.424725217527967658e+00
3.822701068302649929e+01,4.740887874732722480e+02,9.110747611321016848e+00
2.868450996649645646e+01,6.977848470718358840e+02,2.777415833261349576e+01
3.205301846605945570e+01,4.232543585828786945e+02,9.657770107158373918e+00
1.556369401309065381e+01,3.677999597245080849e+02,3.094534922381245678e+01
3.352906491227631136e+01,2.925625866616749136e+02,1.913326111016784026e+01
3.336287168167264383e+01,6.617121952162734715e+02,2.917462740799246390e+01
3.350801990624270843e+01,7.562160047237488243e+02,3.054782772382300848e+01
